,genre,gross,imdb_score
0,Action,0.73,6.4
1,Drama,0.73,6.4
2,Thriller,0.73,6.4
0,Action,0.21,5.4
1,Adventure,0.21,5.4
2,Animation,0.21,5.4
3,Comedy,0.21,5.4
4,Family,0.21,5.4
5,Sci-Fi,0.21,5.4
0,Adventure,0.64,6.7
1,Animation,0.64,6.7
2,Comedy,0.64,6.7
3,Family,0.64,6.7
0,Adventure,0.35,5.8
1,Family,0.35,5.8
2,Fantasy,0.35,5.8
0,Adventure,1.12,6.9
1,Animation,1.12,6.9
2,Comedy,1.12,6.9
3,Family,1.12,6.9
4,Sci-Fi,1.12,6.9
0,Adventure,1.33,7.2
0,Adventure,2.16,6.9
1,Animation,2.16,6.9
2,Comedy,2.16,6.9
3,Family,2.16,6.9
0,Action,1.6,6.1
1,Adventure,1.6,6.1
2,Thriller,1.6,6.1
0,Action,1.18,5.5
1,Comedy,1.18,5.5
2,Fantasy,1.18,5.5
3,Sci-Fi,1.18,5.5
0,Action,2.02,6.6
1,Adventure,2.02,6.6
2,Sci-Fi,2.02,6.6
3,Thriller,2.02,6.6
0,Action,1.9,6.1
1,Adventure,1.9,6.1
2,Comedy,1.9,6.1
3,Family,1.9,6.1
4,Fantasy,1.9,6.1
5,Mystery,1.9,6.1
6,Sci-Fi,1.9,6.1
0,Action,0.82,6.3
1,Adventure,0.82,6.3
2,Animation,0.82,6.3
3,Fantasy,0.82,6.3
0,Action,1.44,7.2
1,Adventure,1.44,7.2
2,Animation,1.44,7.2
3,Comedy,1.44,7.2
4,Family,1.44,7.2
0,Action,2.09,7.4
1,Adventure,2.09,7.4
2,Thriller,2.09,7.4
0,Adventure,1.03,7.3
1,Animation,1.03,7.3
2,Family,1.03,7.3
3,Fantasy,1.03,7.3
0,Comedy,1.1,6.1
1,Crime,1.1,6.1
0,Action,1.11,7.7
1,Drama,1.11,7.7
2,History,1.11,7.7
3,War,1.11,7.7
0,Action,0.65,6.1
1,Adventure,0.65,6.1
2,Drama,0.65,6.1
0,Action,2.58,8.0
1,Adventure,2.58,8.0
2,Sci-Fi,2.58,8.0
0,Action,4.04,7.3
1,Adventure,4.04,7.3
2,Fantasy,4.04,7.3
3,Romance,4.04,7.3
0,Action,1.77,7.9
1,Adventure,1.77,7.9
2,Animation,1.77,7.9
3,Comedy,1.77,7.9
4,Family,1.77,7.9
5,Fantasy,1.77,7.9
0,Action,0.31,5.5
1,Adventure,0.31,5.5
2,Fantasy,0.31,5.5
0,Action,0.32,5.0
1,Adventure,0.32,5.0
2,Sci-Fi,0.32,5.0
3,Thriller,0.32,5.0
0,Action,1.08,7.7
1,Drama,1.08,7.7
2,Mystery,1.08,7.7
3,Sci-Fi,1.08,7.7
0,Action,1.3,6.6
1,Crime,1.3,6.6
2,Thriller,1.3,6.6
0,Action,1.32,5.7
1,Sci-Fi,1.32,5.7
0,Action,1.23,5.8
1,Adventure,1.23,5.8
2,Sci-Fi,1.23,5.8
3,Thriller,1.23,5.8
0,Action,0.69,6.0
1,Adventure,0.69,6.0
2,Comedy,0.69,6.0
3,Thriller,0.69,6.0
0,Action,0.32,6.4
1,Adventure,0.32,6.4
2,Animation,0.32,6.4
3,Fantasy,0.32,6.4
4,Romance,0.32,6.4
5,Sci-Fi,0.32,6.4
0,Action,1.77,6.9
1,Adventure,1.77,6.9
2,Sci-Fi,1.77,6.9
0,Action,1.27,6.4
1,Adventure,1.27,6.4
2,Thriller,1.27,6.4
0,Action,0.94,7.4
1,Adventure,0.94,7.4
2,Drama,0.94,7.4
3,History,0.94,7.4
4,War,0.94,7.4
0,Adventure,2.92,5.5
1,Drama,2.92,5.5
2,Fantasy,2.92,5.5
3,Romance,2.92,5.5
0,Animation,0.64,5.9
1,Comedy,0.64,5.9
2,Family,0.64,5.9
3,Musical,0.64,5.9
0,Action,1.35,6.8
1,Adventure,1.35,6.8
2,Sci-Fi,1.35,6.8
0,Adventure,0.53,6.8
1,Family,0.53,6.8
2,Fantasy,0.53,6.8
0,Adventure,1.84,8.1
1,Drama,1.84,8.1
2,Thriller,1.84,8.1
3,Western,1.84,8.1
0,Adventure,0.83,6.5
1,Animation,0.83,6.5
2,Comedy,0.83,6.5
3,Family,0.83,6.5
4,Sport,0.83,6.5
0,Adventure,1.23,7.2
1,Animation,1.23,7.2
2,Comedy,1.23,7.2
3,Family,1.23,7.2
4,Western,1.23,7.2
0,Adventure,0.83,6.7
1,Animation,0.83,6.7
2,Comedy,0.83,6.7
3,Family,0.83,6.7
0,Action,2.27,8.1
1,Mystery,2.27,8.1
2,Thriller,2.27,8.1
0,Action,2.15,7.6
1,Adventure,2.15,7.6
2,Animation,2.15,7.6
3,Comedy,2.15,7.6
4,Family,2.15,7.6
0,Action,1.8,7.4
1,Adventure,1.8,7.4
2,Comedy,1.8,7.4
3,Sci-Fi,1.8,7.4
0,Adventure,4.25,7.6
1,Sci-Fi,4.25,7.6
2,Thriller,4.25,7.6
0,Adventure,2.92,5.5
1,Drama,2.92,5.5
2,Fantasy,2.92,5.5
3,Romance,2.92,5.5
0,Adventure,1.77,6.7
1,Animation,1.77,6.7
2,Comedy,1.77,6.7
3,Family,1.77,6.7
4,Fantasy,1.77,6.7
5,Sci-Fi,1.77,6.7
0,Adventure,2.34,6.5
1,Sci-Fi,2.34,6.5
2,Thriller,2.34,6.5
0,Action,1.38,6.6
1,Comedy,1.38,6.6
2,Crime,1.38,6.6
3,Thriller,1.38,6.6
0,Action,1.49,6.7
1,Adventure,1.49,6.7
2,Animation,1.49,6.7
3,Comedy,1.49,6.7
4,Family,1.49,6.7
5,Fantasy,1.49,6.7
0,Action,1.18,6.4
1,Crime,1.18,6.4
2,Mystery,1.18,6.4
3,Thriller,1.18,6.4
0,Action,1.01,5.8
1,Adventure,1.01,5.8
2,Drama,1.01,5.8
0,Action,0.78,7.4
1,Adventure,0.78,7.4
2,Family,0.78,7.4
3,Mystery,0.78,7.4
0,Adventure,2.49,7.8
1,Family,2.49,7.8
2,Fantasy,2.49,7.8
3,Mystery,2.49,7.8
0,Adventure,0.5,6.6
1,Drama,0.5,6.6
2,Romance,0.5,6.6
3,War,0.5,6.6
0,Action,0.61,4.9
1,Adventure,0.61,4.9
2,Sci-Fi,0.61,4.9
0,Adventure,1.38,6.5
1,Animation,1.38,6.5
2,Family,1.38,6.5
3,Thriller,1.38,6.5
0,Adventure,1.14,6.2
1,Comedy,1.14,6.2
2,Family,1.14,6.2
3,Fantasy,1.14,6.2
0,Action,1.48,7.3
1,Animation,1.48,7.3
2,Comedy,1.48,7.3
3,Family,1.48,7.3
4,Sci-Fi,1.48,7.3
0,Adventure,3.18,7.5
1,Family,3.18,7.5
2,Fantasy,3.18,7.5
0,Action,0.34,5.6
1,Comedy,0.34,5.6
2,Fantasy,0.34,5.6
0,Action,3.05,8.1
1,Adventure,3.05,8.1
2,Fantasy,3.05,8.1
0,Adventure,3.37,6.7
1,Sci-Fi,3.37,6.7
2,Thriller,3.37,6.7
0,Mystery,2.18,6.6
1,Thriller,2.18,6.6
0,Adventure,1.32,6.4
1,Animation,1.32,6.4
2,Comedy,1.32,6.4
3,Family,1.32,6.4
4,Musical,1.32,6.4
0,Action,2.15,7.5
1,Adventure,2.15,7.5
2,Fantasy,2.15,7.5
3,Sci-Fi,2.15,7.5
4,Thriller,2.15,7.5
0,Action,2.1,7.3
1,Crime,2.1,7.3
2,Thriller,2.1,7.3
0,Action,1.87,7.5
1,Adventure,1.87,7.5
2,Crime,1.87,7.5
3,Mystery,1.87,7.5
4,Thriller,1.87,7.5
0,Action,1.63,5.8
1,Adventure,1.63,5.8
2,Fantasy,1.63,5.8
0,Action,1.19,7.5
1,Sci-Fi,1.19,7.5
0,Action,0.33,6.6
1,Adventure,0.33,6.6
2,History,0.33,6.6
0,Action,1.13,6.7
1,Adventure,1.13,6.7
2,Thriller,1.13,6.7
0,Action,1.07,3.7
0,Comedy,2.6,6.0
1,Family,2.6,6.0
2,Fantasy,2.6,6.0
0,Action,1.87,6.4
1,Adventure,1.87,6.4
2,Sci-Fi,1.87,6.4
3,Thriller,1.87,6.4
0,Action,2.15,6.1
1,Adventure,2.15,6.1
2,Thriller,2.15,6.1
0,Action,1.83,6.4
1,Adventure,1.83,6.4
2,Drama,1.83,6.4
3,Thriller,1.83,6.4
0,Action,1.32,5.6
1,Adventure,1.32,5.6
2,Sci-Fi,1.32,5.6
3,Thriller,1.32,5.6
0,Adventure,1.25,8.0
1,Drama,1.25,8.0
2,Fantasy,1.25,8.0
0,Action,1.16,5.2
1,Fantasy,1.16,5.2
2,Thriller,1.16,5.2
0,Action,1.09,7.1
1,Thriller,1.09,7.1
0,Action,1.01,4.8
1,Adventure,1.01,4.8
2,Comedy,1.01,4.8
